letter of the alphabet	ï»¿aabaa
potato	shaayee
tea	shaayii
instant tea	shaayii battalee
peninsula	shaayyaa
general name of beans	shabalakee
shanty town	shabaxee
gorge	shaddee
crotch	shadoo
gear-box	shaffa
diagonal	shaffaxa
pot stand	shafoo
coffee-pot stand	shafoo jabanaa
elegant	shaggaa
elegant	shaggee
elegance	shaggina
make up	shakata
same as mamsiisaa	shakkisiisaa
cheese	shalalaa
to uproot plants with a plough	shalasshaluu
one who estimates something	shallagduu
estimation	shallaggii
to estimate	shallaguu
to trivialise	shalleessuu
mouldy	shamaa
dental caries	shamaa ilkaanii
young	shamara
same as ubaara	shamisii
weaver	shammaanee
hypothesis	shammoo
champagne	shampaanyaa
to be spoiled	shamuu
a traditional Oromo commission with five members	shanacha
the five	shanan
the five sense organs	shanan hubannoo
the five Gibe States	shanan mootummaa Gibee
stamen	shandoo
board	shanee
editorial board	shanee barreessii
coffee board	shanee bunaa
sport commission	shanee ispoortii
wage council	shanee mindaa
examination board	shanee qormaataa
communal labour	shanii
a can used for holding a dozen of oil	shankalloo
frame	shannii
a frame of a window	shannii foddaa
panel	shanoo
white beans	shantamee
sergeant	shantammaala
jubilee	shantammanee
chromosome	shanyiitii
data	shaqata
commodity	shaqaxa
canvas	sharaa
awning	sharaa konkolaataa
tarpaulin	sharaa meeshaa
sleeping bag	sharaa rafiisaa
canvas	sharaa warii
sail	sharaa yabaloo
exchange: currency	sharafa
stock exchange	sharafa gabaa
foreign exchange	sharafalaa
one who exchanges	sharaftuu
to exchange	sharafuu
painter	shararaa
decorative	shararamaa
very beautiful	shararee
dash	shararree
vehicle	shararrisaa
driver	shararrisiisaa
to drive	shararsiisuu
painting	sharartii
to decorate	shararuu
shareholder	shariika
same as shuushee	sharmuxaa
boulevard	sharroo
precondition	sharxii
to beautify oneself	shashaqachuu
beauty salon	shashaqannoo
ripe	shawee
ripe corn	shawee boqqoolloo
elegant	shawwee
an elegant person	shawwisaa
women's colourful cotton shirt	shaxii
Chevrolet	shebroleetii
oats	sheebboo
sheik	sheeka
short story	sheekkee
folklore	sheekkibboo
story tale	sheekkomsa
a story teller	sheekkomsaa
to tell a story	sheekkomsuu
story	sheekkoo
short story	sheekkoo gabaabee
children's folktale	sheekkoo ijoollee
love story	sheekkoo jaalalaa
an adventure story	sheekkoo jabdootee
science fiction	sheekkoo saayinsii
folk-tale	sheekkoo uummataa
detective story	sheekkoo yakkii
trilogy	sheekkosadee
Satan	sheexana
Satanism	sheexanummaa
epidemic	shekeree
straight	sherree
wedge	shibilliqii
root wedging	shibilliqii hundee
brass wire	shiboo
catalyst	shidduu
same as cirrattuu	shiftaa
measles	shiftii
safety razor	shiggiree
same as budunuu	shiinii
plain	shiiraa
reaction	shiisha
urinal	shiisshatii
chamber pot	shiisshatii fincaanii
painty	shilamaa
shilling	shilingii
painting	shilloo
modern painting	shilloo ammayaa
tick	shilmii
sheep tick	shilmii hoolotaa
cattle tick	shilmii loonii
parasite	shilmiitee
to parasitise	shilmiitomsuu
parasitism	shilmiitummaa
painter	shiltuu
to paint	shiluu
bamboo	shimala
general name for birds	shimballaa
general name for all types of small birds	shimbirroo
exotic birds	shimbirroo alaadhuffee
aquatic birds	shimbirroo bishaanii
birds of passage	shimbirroo godaantuu
bat	shimbirroo halkanii
lean	shiminee
emaciation	shimintii
to emaciate	shiminuu
manyplies	shinfillaa
filler metal	shinkaara
cylinder	shirimirii
measuring cylinder	shirimirii bikkaa
oblique cylinder	shirimirii dalgii
gas cylinder	shirimirii gaasii
brake cylinder	shirimirii kaasaa
measuring cylinder	shirimirii madaallii
similar cylinder	shirimirii walfakkaataa
syrup	shirobbii
caretaker	shishaa
care	shishoo
to care about	shishuu
cigarette	shofee
same as oofaa	shofeera
chocolate	shokolaataa
climbing lily	shokorruu
reed	shombooqqoo
chickpeas	shongoree
sugar cane	shonkooraa
decoration	shooga
small hoe	shooggartuu
ornament	shooggoo
to adorn	shooguu
long straight sword	shoolee
role	shoora
women's role	shoora dubartii
social role	shoora gamtaa
public role	shoora uummataa
same as koosara	shoorbaa
small rainy season	shooree
normal heavy rain	shoorra
vagina	shooshoo
sword	shootala
bark	shoqola
drinking trough	shoree
a basket of woven palm leaves carried by women for shopping	shoroddee
a box made of branches of bamboo used for clothes	shorodoo
basket for ragged or dirty clothes	shorodoo moofaa
bloody	shororkaa
chaotic	shororkaawaa
source	shorree
lily	shorroo
toilet	shorroonii
men's room	shorroonii dhiiraa
ladies' room	shorroonii dubartii
clap	shubbisa
one who claps hands	shubbisaa
acclamation	shubbisii
to clap	shubbisuu
clergy	shuddoo
wasteland	shuffoo
digital	shugeeta
pistol	shugguxii
water-pistol	shugguxii bishaanii
toy pistol	shugguxii mitaa
abattoir	shuguyyaa
sugar	shukkaara
milk sugar	shukkaara aannanii
blood sugar	shukkaara dhiigaa
sugarless	shukkaara-dhablee
containing sugar	shukkaara-qabeessa
heterogeneous	shulaaqa
heterogeneity	shulaaqummaa
chickpeas	shumburaa
gardener	shuquntuu
aristocrat	shuraa
arrowhead	shurquba
same as golfoo	shurraabii
saltcellar	shurroo
inkstand	shurroo halluu
body odour	shurufkaa
aristocracy	shurummaa
remark	shutama
same as qoorbee	shuukkaa
wind	shuula
asthma	shuulloo
same as qondaala	shuumii
prostitute	shuushee
hair at birth	shuuta
anise	shuwwee
active	si'aawaa
motivation	si'aayina
present time	si'ana
up-to-date	si'anee
stimulus	si'ee
catalyst	si'eessituu
dermatitis	sibiijjii
iron	sibiila
alkali metals	sibiila alkaalii
bar	sibiila baxxee
iron-stone	sibiila dhagaa
copper	sibiila diimaa
gridiron	sibiila foonii
wrought	sibiila garjoo
heavy metal	sibiila geldii
light metal	sibiila hafalee
rake	sibiila ilkaanoo
soft and fragile metal	sibiila qafiifaa
active metal	sibiila si'aawaa
arms	sibiila waraanaa
non-metal	sibiilala
foundry	sibiilbaqsaa
iron ore	sibiilbiyyee
hook spanner	sibiilcinintuu
armoured	sibiilee
bauxite	sibiilfallii
steel	sibiiliyyaa
bimetallic	sibiillamee
fetters	sibiilmilaa
hacksaw	sibiilmurtuu
non-metal	sibiilo-maleessa
weight lifting	sibiilolkaasa
weight lifter	sibiilolkaasaa
metal	sibiiloo
pliers	sibiilqabduu
steelworker	sibiiltuu
platinum	sibilboora
eaves	sibsaaba
clover	siddisa
collarbone	siddoo
arch-enemy	sidii
arch-enemity	sidummaa
nutritious food	sifa
blunt	sigidaa
skating	sigiggee
drift	sigiggoo
continental drift	sigiggoo ardii
strong	siibessa
strength	siibessummaa
deposit	siiccee
relic sediment	siiccee hambee
deposit	siicceta
sedimentation	siicceteessa
dirt in grain	siicoo
monument	siidaa
ancient monument	siidaa durii
rod	siillee
height sticks	siillee madaallii
axis	siilloo
horizontal axis	siilloo dalgoo
vertical axis	siilloo dhaabboo
real axis	siilloo dhugee
axis vertebra	siilloo duguguruu
major axis	siilloo duraasaa
minor axis	siilloo maddee
polar axis	siilloo waaggee
imaginary axis	siilloo yaaddii
smooth	siimessa
to make smooth	siimessuu
Oromo women's ceremonial stick	siiqqee
causative	siissee
cigarette	sijaaraa
to smoke	sijaaraa xuuxuu
smoker	sijaaraa xuuxxuu
cigar	sijaarroo
beestings	silga
same as bilbiltoo	silkii
Trinity	Sillaasee
Trinity	Sillaasee Sadeen
nap	sillimii
flagellum	silqixa
receptionist	simaa
oral interpreter	simaamaloo
one-coloured	simaloo
reception	simannaa
spinach	simbirree
spy	simbirtuu
charm	simboo
symphony	simfonii
same mansee	simintoo
fresh	simituu
to welcome	simuu
parable	sinaanoo
heartburn	singiggoo
cinema	sinimaa
film-fan	sinimaa hoo'iftuu
blue movie	sinimaa kormaataa
cinema-goer	sinimaa laaltuu
induction	sinina
zinc	sinjii
complete darkness	siphee
amplitude	siqa
indent	siqaa
hanging indent	siqaa fannoo
tab	siqsaa
permanent	siranaa
song	sirba
traditional song and dance	sirba aadaa
modern song	sirba ammayyaa
composer	sirba baasaa
folk-music	sirba daadaa
comic song	sirba dareentaa
folklore	sirba uummataa
spiritual song	sirba Waaqaa
military music	sirba waraanaa
singer and dancer	sirbituu
to sing and dance	sirbuu
bed	siree
camp bed	siree bokonaa
crib	siree daa'immanii
folding-bed	siree dachaatuu
sick-bed	siree dhukkubsataa
spare bed	siree keessummaa
a bed made of bamboo	siree leemmanaa
double bed	siree mirree
throne	siree mootii
wooden bed	siree mukaa
single bed	siree qeentee
bunk bed	siree rarraatuu
cot	siree sharaa
a bed made of metal	siree sibiilaa
a traditional bed made of leather	siree teephaa
receptor	siribduu
pressure receptor	siribduu dhiibbaa
pain receptor	siribduu eeloo
heat receptor	siribduu hoo'inaa
cold receptor	siribduu qorraa
touch receptor	siribduu tuqaatii
system	sirna
nerve system	sirna aarsituu
breathing system	sirna argansuu
federal system	sirna atoomaa
writing system	sirna barreessii
system of education	sirna barumsaa
parliamentary system	sirna caffee
capitalist system	sirna dilbeetaa
economic system	sirna dinagdee
reactionary system	sirna duubattarkisaa
respiratory system	sirna fiilaa
voting system	sirna filmaataa
feudal system	sirna fudaalaa
system of slavery	sirna gabrummaa
the gadaa-system	sirna gadaa
social system	sirna gamtaa
mode of production	sirna horataa
root system	sirna hundee
democratic system	sirna ilaaflamee
Oromo way of life	sirna jireenya Oromoo
way of life	sirna jireenyaa
cubic system	sirna kuboo
decimal system	sirna kurniitee
numeration	sirna lakkaawwoo
binary number system	sirna lakkoofsalamee
dual system	sirna lamee
shoot system	sirna lashoo
muscular system	sirna maashaa
taxonomy	sirna madaallii
metric system	sirna meetiraawaa
government system	sirna mootummaa
phraseology	sirna murnadubbii
circulatory	sirna naanna'ii
nutrition	sirna nyaataa
coordinated system	sirna qindeeffamaa
communication system	sirna qunnamtii
distribution network	sirna raabsii
registration system	sirna ramaddii
exploitive system	sirna saamichaa
socialist system	sirna soshaalistii
political system	sirna taliigaa
excretory system	sirna usaansaa
communal system	sirna walee
primitive communal system	sirna walee durii
procedure	sirnaata
systematic	sirnaawaa
morphology	sirnadubbii
solar system	sirnaduu
photosynthesis	sirnaftinaa
ecosystem	sirnakkoo
aquatic ecosystem	sirnakkoo bishaanii
mineralogy	sirnalbuudaa
informal	sirnalee
informality	sirnalummaa
ritual	sirnamantii
ritualism	sirnamantummaa
syntax	sirnamtii
notation	sirnasxaa
expert	sirnaya
rhetorician	sirnaya dubbii
logic	sirnayaadaa
festival	sirnayyaa
systematisation	sirneeffama
systematic	sirneeffamaa
systematist	sirneessaa
to systematise	sirneessuu
scaffold	sirojii
orthography	sirqubee
precise	sirree
amendment	sirreeffannoo
precision	sirreenya
correction	sirreessa
accurate	sirrii
accurately	sirriitti
fluency	sirriitti afaan beekuu
to articulate	sirriitti dubbachuu
accuracy	sirrummaa
enrichment	sobbooqsoo
motionless	sochi-dhablee
movement	sochii
religious movement	sochii amantii
perpetual motion	sochii baraanbaree
student movement	sochii barattuu
liberation movement	sochii bilisummaa
popular movement	sochii biyyaa
curvilinear motion	sochii daandii martoo
rectilinear motion	sochii daandii sirrii
proletarian movement	sochii dafqaan-bulaa
partisan movement	sochii faannoo
social movement	sochii gamtaa
growth movement	sochii guddinaa
labour movement	sochii hojjattuu
vibratory motion	sochii hollannoo
accelerated motion	sochii hurrifamaa
moving average	sochii jiddugaleessa
earthquake	sochii lafaa
rotary motion	sochii martoo
rotational motion	sochii naanna'iisa
peasant movement	sochii qotee-bulaa
national movement	sochii sabaa
mass movement	sochii sabaa baldhaa
political movement	sochii taliigaa
uniform motion	sochii walfakkaataa
movable	socho'aa
mobility	socho'ummaa
stirring rod	sochooftuu
to shake	sochoosuu
mobility	sochootii
mobile	sochootuu
fear	sodaa
hydrophobia	sodaa bishaanii
critical	sodaachisaa
phobia	sodacimaa
in-law	soddaa
to be an in-law	soddoomuu
napkin	softii
zigzag	sokaree
transmitter	sokkisiiftuu
transmission	sokkisiisa
transmission of light	sokkisiisa ifinaa
to transmit	sokkisiisuu
gold	sokoo
pin	sokoree
hairpin	sokoroo
crust	solloqqee
colon	sololaa
guinea fowl	sololiyaa
cuticle	soloqmuta
shaft	somaa
shaft of spear	somaa eeboo
lung	somba
pneumonia	sombeessaa
exact	sona
very	sonaan
comedy	sondhola
patrolling	sonii
wasp	sonsa
middle	sontoo
middle part of a mountain	sontoo gaaraa
city centre	sontoo magaalaa
soda	soodaa
obelisk	soodduu
sofa	soofaa
folding sofa	soofaa dachaatuu
carved	soofamaa
plane	sooftuu
to carve	soofuu
a general name for salt	soogidda
mineral salt	soogidda albuudaa
salt hydrate	soogidda bishaan-qabeessa
acidic salt	soogidda dhangaggee
Epsom salts	soogidda Faranjii
binary salt	soogidda gos-lamee
to salt	soogidda ittinaquu
iodised salt	soogidda iyoodinaa
normal salt	soogidda jumboo
double salt	soogidda lammee
salt-free	soogidda-dhablee
containing salt	soogidda-qabeessa
salty	soogiddaawaa
precious	soogiddee
to salt	soogiddeessuu
sodium	soogiddoo
adolescent	sookiyyaa
adolescence	sookiyyummaa
soul	sool
food	soora
grain used as fodder	soora fardaa
feeding	soorachiisa
infant feeding	soorachiisa daa'imaa
baby food	sooran
nutrition	soorannoo
parasitic nutrition	soorannoo maxxannee
diet	soorata
fodder	soorata beeladaa
staple food	soorata duraasaa
energy food	soorata giidoo
protective food	soorata ittisaa
Holy Food	soorata quftoo
soldiers' ration	soorata raayyaa
endosperm	soorata sanyii
balanced diet	soorata walqixxaataa
building food	soorataa ijaarsaa
stipend	sooratee
student stipend	sooratee barattuu
a daily allowance	sooratee guyyaa
a yearly allowance	sooratee waggaa
eater	soorattuu
carnivores	soorattuu foonii
herbivores	soorattuu margaa
malnutrition	soordhaba
nutrient	sooree
rich	sooressa
richness	sooressummaa
the clear meaning of two meanings of a pun	soorgoo
general name for sacrifices	sooriyyoo
to become rich	sooromuu
drug	soortoo
one who provides food to the needy	soortuu
wealth	soorummaa
one who serves guests at a festival	sooyyaa
one who searches	soqaa
carved	soqamaa
searching	soqiisa
to dig up	soquu
a small hatchet	soqxuu
screening	sora
isolated rain in dry season	sorara
a gatherer of wild honey	sorobduu
tsetse fly	sorondiisa
orientation	soroobina
reddish	soroorii
straight	sorooroo
to go off accidentally	sorroquu
screen grid	sortuu
to screen	soruu
socialist	soshaalistii
leather bag	subba
seed vessel	subba cinaanii
wind bag	subba qilleensaa
purse	subbee
gold	subbii
sinful	subbu-qabeessa
Sudanese perfume	sudaanee
directly	sududaa
satisfaction	suga
nutritious value	suggoo
sauce	sugoo
a rash	sukkii
semi-fried meat cut	sulchoo
valley	sulula
the Nile Valley	Sulula Abbayyaa
young valley	sulula baldhataa
wooded valley	sulula caakkaa
longitudinal valley	sulula dalgee
rift valley	sulula dhooqaa
the East African Rift Valley	Sulula Dhooqaa Afrikaa Boruu
submarine canyon	sulula garbaa
mature valley	sulula guuttoo
river delta	sulula lagaa
V-shaped valley	sulula muxxee
hanging valley	sulula oljedhaa
valley trains	sulula walqabataa
U-valley	sulula-U
sultan	sulxaana
sultanate	sulxaanummaa
to be poisoned	summaawuu
food spoilage	summaawuu soorataa
to poison	summeessuu
poisonous	summi-qabeessa
poison	summii
DDT	summii biimbee
blood poisoning	summii dhiigaa
food poisoning	summii nyaataa
toxicity	summummaa
compression	summuuga
compressive	summuugamaa
compressor	summuugduu
to compress	summuuguu
matrilineal relationship	sumsuma
brand	sumuda
branding iron	sumudaa
brand	sumuddoo
to brand	sumuduu
fenugreek	sunqoo
the three hearth stones of the fireplace	sunsuma
porcelain	suphadii
pottery	suphe-dhayiinsa
potter	suphe-dhooftuu
clay	suphee
erasing	supheensii
eraser	supheensituu
to erase	supheensuu
ceramic	supheeta
repair	suppha
repairer	supphaa
to patch	supphuu
paragraph of Koran	suraa
to pin	surgiisuu
dignity	surraa
trousers	surree
underpants	surrejalee
swimming trunks	surrejalee daakkii
same as uqqubunnee	surrii
walking	sussukkii
a married man	suubboo
swing	suudee
particle	suudoo
charge particle	suudoo guuttii
1) sunflower	suufii
sunflower seed	suufii baar
irritating	suukanneessaa
irritation	suukanneessoo
to irritate	suukanneessuu
sensation	suukannii
sensationalism	suukannummaa
dotted	suukee
corner	suuqa
rafter	suuqaa
principal rafter	suuqaa guddaa
common rafter	suuqaa xinnaa
square	suuqafree
any iron rod which transmits motion or heat between two objects	suuqamaa
socket	suuqamtuu
to shop	suuqeffachuu
shopping	suuqeffannoo
shop	suuqii
Arab shop	suuqii Arabaa
bookshop	suuqii barroolee
cosmetic salon	suuqii dibataa
boutique	suuqii faayyee
butcher's shop	suuqii foonii
newsagent	suuqii galaalchaa
municipal shop	suuqii magaalaa
sporting goods store	suuqii meeshaa ispoortii
toy-shop	suuqii mitaa
second-hand shop	suuqii moofee
music shop	suuqii muusiqaa
tea-shop	suuqii shaayii
clothes shop	suuqii uffataa
perfume shop	suuqii urgee
to stick into	suuquu
insertion	suuqxii
female contact	suuqxuu
same as fakkoo	suuraa
mess	suuttawa
to be in mess	suuttawuu
novel	suuya
fantasy novel	suuya dareenaa
writer of novels	suuyomsaa
to novelise	suuyomsuu
happening	ta'umsa
sitting place	taa'umsa
passenger seat	taa'umsa karadeemaa
landscape	taa'umsa lafaa
position	taa'umtaa
ark	taabota
to escort the taabota for procession	taabota baasuu
hot ointment	taaffee
comment	taajjabbii
observer	taajjabduu
same as koomedheertuu	taakkoo
span	taakkuu
taxi-driver	taaksi-oofaa
taxi	taaksii
tambourine	taambura
a large tin container	taanikaa
same as karkarroyyaa	taankii
same as lakkoofsa konkolaataa	taargaa
tariff	taarifa
event	taatee
vital event	taatee murteessaa
chart	taatoo
growth chart	taatoo guddinaa
temperature chart	taatoo hoo'inaa
life table	taatoo jireenyaa
generation life table	taatoo umurii dhalootaa
weather chart	taattoo haala qilleensaa
typist	taayibbistii
authority	taayitaa
sovereign authority or power	taayitaa guutuu
state power	taayitaa mootummaa
right	tabaroo
birthright	tabaroo dhalannaa
rights and interests	tabaroo fi bu'uyyaa
franchise	tabaroo filmaataa
social right	tabaroo gamtaa
constitutional right	tabaroo heeraa
human rights	tabaroo namoomaa
individual right	tabaroo namtokkee
slope	tabba
millet	tacee
gravel	tadaa
effect	taddoo
effects of heat	taddoolee hoo'inaa
